-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.028,  0.148
-183.800, 80.199, 0.025,  0.181
-183.800, 80.198, 0.025,  0.214
-183.800, 80.197, 0.027,  0.247
-183.800, 80.196, 0.034,  0.280
-183.800, 80.194, 0.100,  0.313
-183.799, 80.188, 0.174,  0.346
-183.799, 80.179, 0.289,  0.379
-183.798, 80.166, 0.399,  0.412
-183.796, 80.146, 0.632,  0.445
-183.794, 80.116, 0.901,  0.478
-183.791, 80.079, 1.131,  0.511
-183.787, 80.035, 1.337,  0.544
-183.784, 79.984, 1.528,  0.577
-183.779, 79.928, 1.703,  0.610
-183.775, 79.867, 1.848,  0.643
-183.770, 79.803, 1.933,  0.676
-183.765, 79.738, 1.971,  0.709
-183.760, 79.673, 1.983,  0.742
-183.755, 79.608, 1.976,  0.775
-183.750, 79.543, 1.955,  0.808
-183.745, 79.480, 1.922,  0.841
-183.740, 79.418, 1.883,  0.874
-183.735, 79.358, 1.837,  0.907
-183.730, 79.299, 1.788,  0.940
-183.725, 79.242, 1.737,  0.973
-183.721, 79.187, 1.684,  1.006
-183.716, 79.133, 1.631,  1.039
-183.711, 79.082, 1.549,  1.072
-183.707, 79.032, 1.486,  1.105
-183.703, 78.985, 1.433,  1.138
-183.699, 78.939, 1.392,  1.171
-183.694, 78.894, 1.366,  1.204
-183.690, 78.849, 1.355,  1.237
-183.686, 78.804, 1.365,  1.270
-183.682, 78.757, 1.399,  1.303
-183.677, 78.709, 1.463,  1.336
-183.672, 78.657, 1.565,  1.369
-183.667, 78.600, 1.716,  1.402
-183.661, 78.538, 1.867,  1.435
-183.655, 78.472, 1.985,  1.468
-183.648, 78.404, 2.045,  1.501
-183.642, 78.335, 2.066,  1.534
-183.635, 78.267, 2.064,  1.567
-183.629, 78.199, 2.046,  1.600
-183.622, 78.132, 2.015,  1.633
-183.616, 78.067, 1.976,  1.666
-183.610, 78.003, 1.931,  1.699
-183.604, 77.941, 1.881,  1.732
